Description: Revision of (Revision of (extract for intermarriage analysis 1980))
Samples selected:
      1980 5%
            Note: 
            Density of the full data file:  5.0%
            Density of your extract: 5.0%

File Type:                    rectangular
Case Selection:               Yes
  Variable               Columns        Len    1980   
H METAREA      900 Wheeling, WV/OH
H METAREA      904 Wichita, KS
H METAREA      908 Wichita Falls, TX
H METAREA      914 Williamsport, PA
H METAREA      916 Wilmington, DE/NJ/MD
H METAREA      920 Wilmington, NC
H METAREA      924 Worcester, MA
H METAREA      926 Yakima, WA
H METAREA      927 Yolo, CA
H METAREA      928 York, PA
H METAREA      932 Youngstown-Warren, OH/PA
H METAREA      934 Yuba City, CA
H METAREA      936 Yuma, AZ
P AGE      018 18
P AGE      019 19
P AGE      020 20
P AGE      021 21
P AGE      022 22
P AGE      023 23
P AGE      024 24
P AGE      025 25
P AGE      026 26
P AGE      027 27
P AGE      028 28
P AGE      029 29
P AGE      030 30
P AGE      031 31
P AGE      032 32
P AGE      033 33
P AGE      034 34
P AGE      035 35
P AGE      036 36
P AGE      037 37
P AGE      038 38
P AGE      039 39
P AGE      040 40
P AGE      041 41
P AGE      042 42
P AGE      043 43
P AGE      044 44
P AGE      045 45
P AGE      046 46
P AGE      047 47
P AGE      048 48
P AGE      049 49
P AGE      050 50
P AGE      051 51
P AGE      052 52
P AGE      053 53
P AGE      054 54
P AGE      055 55
P AGE      056 56
P AGE      057 57
P AGE      058 58
P AGE      059 59
P AGE      060 60
P AGE      061 61
P AGE      062 62
P AGE      063 63
P AGE      064 64
P AGE      065 65
P AGE      066 66
P AGE      067 67
P AGE      068 68
P AGE      069 69
P AGE      070 70
P AGE      071 71
P AGE      072 72
P AGE      073 73
P AGE      074 74
P AGE      075 75
P AGE      076 76
P AGE      077 77
P AGE      078 78
P AGE      079 79
P AGE      080 80
P AGE      081 81
P AGE      082 82
P AGE      083 83
P AGE      084 84
P AGE      085 85
P AGE      086 86
P AGE      087 87
P AGE      088 88
P AGE      089 89
P AGE      090 90 (90+ in 1980 and 1990)
P AGE      091 91
P AGE      092 92
P AGE      093 93
P AGE      094 94
P AGE      095 95
P AGE      096 96
P AGE      097 97
P AGE      098 98
P AGE      099 99
P AGE      100 100 (100+ in 1960-1970)
P AGE      101 101
P AGE      102 102
P AGE      103 103
P AGE      104 104
P AGE      105 105
P AGE      106 106
P AGE      107 107
P AGE      108 108
P AGE      109 109
P AGE      110 110
P AGE      111 111
P AGE      112 112 (112+ in the 1980 internal data)
P AGE      113 113
P AGE      114 114
P AGE      115 115 (115+ in the 1990 internal data)
P AGE      116 116
P AGE      117 117
P AGE      118 118
P AGE      119 119
P AGE      120 120
P AGE      121 121
P AGE      122 122
P AGE      123 123
P AGE      124 124
P AGE      125 125
P AGE      126 126
P AGE      129 129
P AGE      130 130
P AGE      135 135

 YEAR		Census year
1850		1850
1860		1860
1870		1870
1880		1880
1900		1900
1910		1910
1920		1920
1930		1930
1940		1940
1950		1950
1960		1960
1970		1970
1980		1980
1990		1990
2000		2000
2001		2001
2002		2002
2003		2003
2004		2004
2005		2005
2006		2006
2007		2007
2008		2008
2009		2009
2010		2010
2011		2011
2012		2012
2013		2013
2014		2014
2015		2015
2016		2016

 METAREA		Metropolitan area [general version]
000		Not identifiable or not in an MSA
004		Abilene, TX
006		Aguadilla, PR
008		Akron, OH
012		Albany, GA
016		Albany-Schenectady-Troy, NY
020		Albuquerque, NM
022		Alexandria, LA
024		Allentown-Bethlehem-Easton, PA/NJ
028		Altoona, PA
032		Amarillo, TX
038		Anchorage, AK
040		Anderson, IN
044		Ann Arbor, MI
045		Anniston, AL
046		Appleton-Oshkosh-Neenah, WI
047		Arecibo, PR
048		Asheville, NC
050		Athens, GA
052		Atlanta, GA
056		Atlantic City, NJ
058		Auburn-Opekika, AL
060		Augusta-Aiken, GA/SC
064		Austin, TX
068		Bakersfield, CA
072		Baltimore, MD
073		Bangor, ME
074		Barnstable-Yarmouth, MA
076		Baton Rouge, LA
078		Battle Creek, MI
084		Beaumont-Port Arthur-Orange, TX
086		Bellingham, WA
087		Benton Harbor, MI
088		Billings, MT
092		Biloxi-Gulfport, MS
096		Binghamton, NY
100		Birmingham, AL
102		Bloomington, IN
104		Bloomington-Normal, IL
108		Boise City, ID
112		Boston, MA/NH
114		Bradenton, FL
115		Bremerton, WA
116		Bridgeport, CT
120		Brockton, MA
124		Brownsville-Harlingen-San Benito, TX
126		Bryan-College Station, TX
128		Buffalo-Niagara Falls, NY
130		Burlington, NC
131		Burlington, VT
132		Canton, OH
133		Caguas, PR
135		Casper, WY
136		Cedar Rapids, IA
140		Champaign-Urbana-Rantoul, IL
144		Charleston-N. Charleston, SC
148		Charleston, WV
152		Charlotte-Gastonia-Rock Hill, NC/SC
154		Charlottesville, VA
156		Chattanooga, TN/GA
158		Cheyenne, WY
160		Chicago, IL
162		Chico, CA
164		Cincinnati-Hamilton, OH/KY/IN
166		Clarksville- Hopkinsville, TN/KY
168		Cleveland, OH
172		Colorado Springs, CO
174		Columbia, MO
176		Columbia, SC
180		Columbus, GA/AL
184		Columbus, OH
188		Corpus Christi, TX
190		Cumberland, MD/WV
192		Dallas-Fort Worth, TX
193		Danbury, CT
195		Danville, VA
196		Davenport, IA - Rock Island-Moline, IL
200		Dayton-Springfield, OH
202		Daytona Beach, FL
203		Decatur, AL
204		Decatur, IL
208		Denver-Boulder, CO
212		Des Moines, IA
216		Detroit, MI
218		Dothan, AL
219		Dover, DE
220		Dubuque, IA
224		Duluth-Superior, MN/WI
228		Dutchess Co., NY
229		Eau Claire, WI
231		El Paso, TX
232		Elkhart-Goshen, IN
233		Elmira, NY
234		Enid, OK
236		Erie, PA
240		Eugene-Springfield, OR
244		Evansville, IN/KY
252		Fargo-Morehead, ND/MN
256		Fayetteville, NC
258		Fayetteville-Springdale, AR
260		Fitchburg-Leominster, MA
262		Flagstaff, AZ/UT
264		Flint, MI
265		Florence, AL
266		Florence, SC
267		Fort Collins-Loveland, CO
268		Fort Lauderdale-Hollywood-Pompano Beach, FL
270		Fort Myers-Cape Coral, FL
271		Fort Pierce, FL
272		Fort Smith, AR/OK
275		Fort Walton Beach, FL
276		Fort Wayne, IN
284		Fresno, CA
288		Gadsden, AL
290		Gainesville, FL
292		Galveston-Texas City, TX
297		Glens Falls, NY
298		Goldsboro, NC
299		Grand Forks, ND
300		Grand Rapids, MI
301		Grand Junction, CO
304		Great Falls, MT
306		Greeley, CO
308		Green Bay, WI
312		Greensboro-Winston Salem-High Point, NC
315		Greenville, NC
316		Greenville-Spartenburg-Anderson, SC
318		Hagerstown, MD
320		Hamilton-Middleton, OH
324		Harrisburg-Lebanon--Carlisle, PA
328		Hartford-Bristol-Middleton- New Britain, CT
329		Hickory-Morganton, NC
330		Hattiesburg, MS
332		Honolulu, HI
335		Houma-Thibodoux, LA
336		Houston-Brazoria, TX
340		Huntington-Ashland, WV/KY/OH
344		Huntsville, AL
348		Indianapolis, IN
350		Iowa City, IA
352		Jackson, MI
356		Jackson, MS
358		Jackson, TN
359		Jacksonville, FL
360		Jacksonville, NC
361		Jamestown-Dunkirk, NY
362		Janesville-Beloit, WI
366		Johnson City-Kingsport--Bristol, TN/VA
368		Johnstown, PA
371		Joplin, MO
372		Kalamazoo-Portage, MI
374		Kankakee, IL
376		Kansas City, MO/KS
380		Kenosha, WI
381		Kileen-Temple, TX
384		Knoxville, TN
385		Kokomo, IN
387		LaCrosse, WI
388		Lafayette, LA
392		Lafayette-W. Lafayette, IN
396		Lake Charles, LA
398		Lakeland-Winterhaven, FL
400		Lancaster, PA
404		Lansing-E. Lansing, MI
408		Laredo, TX
410		Las Cruces, NM
412		Las Vegas, NV
415		Lawrence, KS
420		Lawton, OK
424		Lewiston-Auburn, ME
428		Lexington-Fayette, KY
432		Lima, OH
436		Lincoln, NE
440		Little Rock-N. Little Rock, AR
441		Long Branch-Asbury Park, NJ
442		Longview-Marshall, TX
444		Lorain-Elyria, OH
448		Los Angeles-Long Beach, CA
452		Louisville, KY/IN
460		Lubbock, TX
464		Lynchburg, VA
468		Macon-Warner Robins, GA
472		Madison, WI
476		Manchester, NH
480		Mansfield, OH
484		Mayaguez, PR
488		McAllen-Edinburg-Pharr-Mission, TX
489		Medford, OR
490		Melbourne-Titusville-Cocoa-Palm Bay, FL
492		Memphis, TN/AR/MS
494		Merced, CA
500		Miami-Hialeah, FL
504		Midland, TX
508		Milwaukee, WI
512		Minneapolis-St. Paul, MN
514		Missoula, MT
516		Mobile, AL
517		Modesto, CA
519		Monmouth-Ocean, NJ
520		Monroe, LA
524		Montgomery, AL
528		Muncie, IN
532		Muskegon-Norton Shores-Muskegon Heights, MI
533		Myrtle Beach, SC
534		Naples, FL
535		Nashua, NH
536		Nashville, TN
540		New Bedford, MA
546		New Brunswick-Perth Amboy-Sayreville, NJ
548		New Haven-Meriden, CT
552		New London-Norwich, CT/RI
556		New Orleans, LA
560		New York, NY-Northeastern NJ
564		Newark, OH
566		Newburgh-Middletown, NY
572		Norfolk-VA Beach--Newport News, VA
576		Norwalk, CT
579		Ocala, FL
580		Odessa, TX
588		Oklahoma City, OK
591		Olympia, WA
592		Omaha, NE/IA
595		Orange, NY
596		Orlando, FL
599		Owensboro, KY
601		Panama City, FL
602		Parkersburg-Marietta,WV/OH
603		Pascagoula-Moss Point, MS
608		Pensacola, FL
612		Peoria, IL
616		Philadelphia, PA/NJ
620		Phoenix, AZ
628		Pittsburgh, PA
632		Pittsfield, MA
636		Ponce, PR
640		Portland, ME
644		Portland, OR/WA
645		Portsmouth-Dover--Rochester, NH/ME
646		Poughkeepsie, NY
648		Providence-Fall River-Pawtucket, MA/RI
652		Provo-Orem, UT
656		Pueblo, CO
658		Punta Gorda, FL
660		Racine, WI
664		Raleigh-Durham, NC
666		Rapid City, SD
668		Reading, PA
669		Redding, CA
672		Reno, NV
674		Richland-Kennewick-Pasco, WA
676		Richmond-Petersburg, VA
678		Riverside-San Bernardino, CA
680		Roanoke, VA
682		Rochester, MN
684		Rochester, NY
688		Rockford, IL
689		Rocky Mount, NC
692		Sacramento, CA
696		Saginaw-Bay City-Midland, MI
698		St. Cloud, MN
700		St. Joseph, MO
704		St. Louis, MO/IL
708		Salem, OR
712		Salinas-Sea Side-Monterey, CA
714		Salisbury-Concord, NC
716		Salt Lake City-Ogden, UT
720		San Angelo, TX
724		San Antonio, TX
732		San Diego, CA
736		San Francisco-Oakland-Vallejo, CA
740		San Jose, CA
744		San Juan-Bayamon, PR
746		San Luis Obispo-Atascad-P Robles, CA
747		Santa Barbara-Santa Maria-Lompoc, CA
748		Santa Cruz, CA
749		Santa Fe, NM
750		Santa Rosa-Petaluma, CA
751		Sarasota, FL
752		Savannah, GA
756		Scranton-Wilkes-Barre, PA
760		Seattle-Everett, WA
761		Sharon, PA
762		Sheboygan, WI
764		Sherman-Davidson, TX
768		Shreveport, LA
772		Sioux City, IA/NE
776		Sioux Falls, SD
780		South Bend-Mishawaka, IN
784		Spokane, WA
788		Springfield, IL
792		Springfield, MO
800		Springfield-Holyoke-Chicopee, MA
804		Stamford, CT
805		State College, PA
808		Steubenville-Weirton,OH/WV
812		Stockton, CA
814		Sumter, SC
816		Syracuse, NY
820		Tacoma, WA
824		Tallahassee, FL
828		Tampa-St. Petersburg-Clearwater, FL
832		Terre Haute, IN
836		Texarkana, TX/AR
840		Toledo, OH/MI
844		Topeka, KS
848		Trenton, NJ
852		Tucson, AZ
856		Tulsa, OK
860		Tuscaloosa, AL
864		Tyler, TX
868		Utica-Rome, NY
873		Ventura-Oxnard-Simi Valley, CA
875		Victoria, TX
876		Vineland-Milville-Bridgetown, NJ
878		Visalia-Tulare-Porterville, CA
880		Waco, TX
884		Washington, DC/MD/VA
888		Waterbury, CT
892		Waterloo-Cedar Falls, IA
894		Wausau, WI
896		West Palm Beach-Boca Raton-Delray Beach, FL
900		Wheeling, WV/OH
904		Wichita, KS
908		Wichita Falls, TX
914		Williamsport, PA
916		Wilmington, DE/NJ/MD
920		Wilmington, NC
924		Worcester, MA
926		Yakima, WA
927		Yolo, CA
928		York, PA
932		Youngstown-Warren, OH/PA
934		Yuba City, CA
936		Yuma, AZ

 METAREAD		Metropolitan area [detailed version]
0000		Not identifiable or not in an MSA
0040		Abilene, TX
0060		Aguadilla, PR
0080		Akron, OH
0120		Albany, GA
0160		Albany-Schenectady-Troy, NY
0200		Albuquerque, NM
0220		Alexandria, LA
0240		Allentown-Bethlehem-Easton, PA/NJ
0280		Altoona, PA
0320		Amarillo, TX
		Anaheim-Santa Ana, CA  (See Los Angeles)
0380		Anchorage, AK
0400		Anderson, IN
		Anderson, SC (See Greenville)
0440		Ann Arbor, MI
0450		Anniston, AL
0460		Appleton-Oshkosh-Neenah, WI
0470		Arecibo, PR
0480		Asheville, NC
0500		Athens, GA
0520		Atlanta, GA
0560		Atlantic City, NJ
0580		Auburn-Opelika, AL
0600		Augusta-Aiken, GA/SC
		Aurora-Elgin, IL  (See Chicago)
0640		Austin, TX
0680		Bakersfield, CA
0720		Baltimore, MD
0730		Bangor, ME
0740		Barnstable-Yarmouth, MA
0760		Baton Rouge, LA
